融资主体,count
杭州芯迈半导体技术有限公司,6
苏州速通半导体科技有限公司,6
浙江火山口网络科技有限公司,6
苏州异格技术有限公司,6
墨芯人工智能科技（深圳）有限公司,6
北京集创北方科技股份有限公司,6
南京红云生物科技有限公司,6
湖南快乐阳光互动娱乐传媒有限公司,6
合肥启灏医疗科技有限公司,6
重庆西山科技股份有限公司,6
无锡沐创集成电路设计有限公司,6
康方生物科技（开曼）有限公司,6
长春长光辰芯微电子股份有限公司,6
重庆宗申航空发动机制造股份有限公司,6
浙江启尔机电技术有限公司,6
特来电新能源股份有限公司,5
深圳深信生物科技有限公司,5
南京中安半导体设备有限责任公司,5
武汉依迅北斗时空技术股份有限公司,5
上海熙软科技有限公司,5
江苏铌奥光电科技有限公司,5
合肥酷芯微电子有限公司,5
哈尔滨思哲睿智能医疗设备股份有限公司,5
众言科技股份有限公司,5
南京后摩智能科技有限公司,5
西安欣创电子技术有限公司,5
和创（北京）科技股份有限公司,5
北京声智科技有限公司,5
天元航材（营口）科技股份有限公司,5
英诺赛科（苏州）科技有限公司,5
上海伟测半导体科技股份有限公司,5
深圳市有方科技股份有限公司,5
杭州云合智网技术有限公司,5
广州派真生物技术有限公司,5
西湖欧米（杭州）生物科技有限公司,5
湖南德智新材料有限公司,5
快住智能科技（苏州）有限公司,5
海目星激光科技集团股份有限公司,5
北京持安科技有限公司,5
江苏瑞科生物技术股份有限公司,5
软通动力信息技术（集团）股份有限公司,5
蓝箭航天空间科技股份有限公司,5
来凯医药有限公司,5
智享生物（苏州）有限公司,5
日照市艾锐光电科技有限公司,5
北京百邑无忧科技发展有限公司,5
杭州小影创新科技股份有限公司,5
杭州迪英加科技有限公司,5
纯钧新材料（深圳）有限公司,5
苏州京浜光电科技股份有限公司,5
深圳十沣科技有限公司,5
武汉长盈通光电技术股份有限公司,5
北京国科天迅科技股份有限公司,5
深圳市行知行机器人技术有限公司,5
星环信息科技（上海）股份有限公司,5
江苏先声医学诊断有限公司,5
北京清能互联科技有限公司,5
金石机器人常州股份有限公司,5
